dataset_index;horizon;regressor;mape;pocid;smape;rmse;msmape;mae;test;predictions;start_test;final_test;description
135;12;BEST_CATEGORY_EACH_SERIE;0.6564678671655689;45.45454545454545;0.41784674286398626;11.925830761471763;0.41698102067812975;10.293892052833337;[17.998, 23.124, 8.682, 29.185, 19.291, 20.03, 21.898, 23.979, 25.805, 30.816, 12.364, 37.925];[30.78520074, 32.38205801, 30.55076778, 31.038118028000003, 32.139609896, 31.108707118, 32.784561728, 31.858112344, 33.93047588, 32.188765302, 32.65164240200001, 32.644314593999994];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: DWT_catboost, rf: CWT_rf, svr: svr, naive: NaiveMovingAverage
136;12;BEST_CATEGORY_EACH_SERIE;0.042302907813142186;72.72727272727273;0.043673575327961185;1515.7863270561104;0.043673497294080314;1222.6964812290005;[27028.30616, 28460.5, 26170.27717, 27653.16304, 28843.49275, 29501.22826, 26867.89312, 29429.52536, 29360.84964, 26667.5308, 29606.93297, 27998.18297];[27525.650202245997, 26755.023672777996, 25650.251134719998, 27642.608640252, 27011.871657195996, 27279.575575634, 26999.452554156003, 27273.265233616003, 27555.709865126002, 26685.895754654, 27085.065539242, 26745.691497744003];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: ONLY_DWT_rf, svr: ONLY_DWT_svr, naive: NaiveMovingAverage
137;12;BEST_CATEGORY_EACH_SERIE;0.06683797816787812;63.63636363636363;0.07022507487448476;7830.998172342189;0.07022503651409434;6432.0455802393335;[99170.582, 91042.924, 87613.898, 94877.676, 94679.184, 92822.768, 85482.538, 92143.848, 91835.592, 87791.791, 102837.008, 97221.869];[86510.58108652999, 86123.608417804, 85810.944516472, 87766.173375416, 85198.12248156001, 87533.71138611001, 85390.890142102, 86563.43261742199, 87128.46570441399, 88233.74699764999, 87917.03909789801, 87042.32720905];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: FT_catboost, rf: ONLY_CWT_rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
138;12;BEST_CATEGORY_EACH_SERIE;0.37047526848981255;54.54545454545455;0.4614045093078043;1019.4339350303763;0.4613926617265042;923.5895604166667;[1909.285, 1892.796, 1760.155, 2088.281, 2144.03, 2115.404, 2070.309, 2618.711, 2671.633, 2630.674, 3054.119, 3597.503];[1335.3404623399997, 1295.318681938, 1314.5188406000002, 1329.157071132, 1370.47498895, 1414.1022415439998, 1483.334397974, 1584.6842191599999, 1599.338674636, 1591.219846762, 1581.017473022, 1571.318376942];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: FT_catboost, rf: FT_rf, svr: DWT_svr, naive: NaiveMovingAverage
139;12;BEST_CATEGORY_EACH_SERIE;0.03162069847376849;90.9090909090909;0.0321302682917716;95.64060835341537;0.032129631771818545;81.17139390749996;[2563.222826, 2425.530797, 2310.505435, 2467.952899, 2555.11413, 2647.509058, 2429.460145, 2713.043478, 2619.846014, 2430.974638, 2641.152174, 2439.222826];[2576.044548382, 2339.73547724, 2304.502153858, 2534.462461182, 2414.273521074, 2539.156341162, 2510.9137578839996, 2556.71571885, 2541.496884346, 2477.101901162, 2480.0940219159997, 2408.805227274];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: DWT_catboost, rf: CWT_rf, svr: DWT_svr, naive: NaiveSeasonal
140;12;BEST_CATEGORY_EACH_SERIE;0.04562124261018047;72.72727272727273;0.045120740453766524;3642.315883395273;0.04512070715184743;3075.213074700001;[61220.73551, 61312.19022, 57361.90399, 60950.10145, 67461.9837, 71978.58877, 67156.59964, 80424.30435, 77117.82609, 64314.2337, 69949.30254, 63610.11232];[63996.701562006005, 59066.915470342, 57315.707439512, 67083.394800658, 64561.433107772005, 70302.276294998, 72942.928639584, 74488.47931031001, 73980.485308576, 68235.317682648, 69457.623829292, 65462.817932305996];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: ONLY_CWT_rf, svr: CWT_svr, naive: NaiveSeasonal
141;12;BEST_CATEGORY_EACH_SERIE;0.24890988597861372;36.36363636363637;0.2896584848255912;12.883567901987712;0.28923500646043004;10.3164644465;[20.0, 40.335, 25.0, 35.177, 23.494, 40.0, 30.0, 30.0, 45.508, 58.433, 39.735, 55.0];[25.914887618, 25.457007548, 27.021848705999997, 23.846578366, 25.970671754, 28.885046898000002, 30.944236379999996, 29.086894834000002, 28.826593034000002, 38.10132171, 27.788844865999998, 29.755783844];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: CWT_rf, svr: svr, naive: NaiveMovingAverage
142;12;BEST_CATEGORY_EACH_SERIE;0.051760230817918466;72.72727272727273;0.05363438732915677;3488.485731729415;0.053634334993288214;2756.4588859438313;[45043.28261, 46288.31341, 45596.30072, 47145.62681, 50893.75906, 52239.78623, 50953.54167, 58018.16848, 56934.57428, 50745.28442, 54723.67029, 50545.55435];[46947.591733678, 45509.45463171801, 46430.381438618, 48156.527024252, 48440.971087928, 49687.356401992, 49982.14347903601, 50789.270505846005, 50710.262773292, 49018.300087817996, 49399.098175018, 48477.578472574];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_FT_catboost, rf: ONLY_FT_rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
143;12;BEST_CATEGORY_EACH_SERIE;0.44325040439932567;45.45454545454545;0.5755044662450124;4683.725856915161;0.5755007859734458;4521.703544086334;[8378.692, 9879.408, 9363.044, 10817.144, 11077.294, 7646.804, 8811.781, 11061.842, 10408.348, 9917.84, 11178.054, 11485.512];[5876.169069828, 5518.9054929799995, 5202.550189094, 5468.546922042, 5310.504951506, 5377.120236426, 5558.6499030899995, 5466.91687707, 5506.233326398, 5453.455030182, 5566.1352090479995, 5460.1332633];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: DWT_catboost, rf: FT_rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
144;12;BEST_CATEGORY_EACH_SERIE;0.057174234793473826;81.81818181818181;0.059090306409972815;6486.522311613613;0.0590902769938324;5964.207453986834;[104964.46, 100566.0, 87955.637, 90008.2, 93827.7, 101633.457, 99189.8, 110531.5, 111733.4, 107316.2, 114065.5, 109348.9];[101755.46755583401, 93757.734606514, 85748.91516074, 92175.338505112, 86023.02256163598, 94023.060265566, 95462.987694118, 100384.110468856, 105295.635259058, 102139.625041794, 104854.81879724999, 102283.825645904];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_DWT_catboost, rf: CWT_rf, svr: DWT_svr, naive: NaiveSeasonal
