dataset,dataset_index,accept_confidence,selection_verdict,selection_margin,selection_dm_pvalue,bootstrap_reliable
M4_WEEKLY_DATASET,176,0.9,separated,0.00011,0.0394,False
M4_WEEKLY_DATASET,177,0.9,indistinguishable,0.00065,0.7813,False
M4_WEEKLY_DATASET,180,0.9,separated,0.15354,0.0,False
M4_WEEKLY_DATASET,181,0.9,separated,0.01945,0.0446,False
M4_WEEKLY_DATASET,182,0.9,indistinguishable,0.06449,0.9104,False
M4_WEEKLY_DATASET,184,0.9,indistinguishable,0.0149,0.9372,False
M4_WEEKLY_DATASET,185,0.9,separated,0.05008,0.048,False
M4_WEEKLY_DATASET,187,0.9,indistinguishable,0.00366,0.1117,False
M4_WEEKLY_DATASET,189,0.9,separated,0.59998,0.0005,False
M4_WEEKLY_DATASET,190,0.9,indistinguishable,0.01807,0.986,False
M4_WEEKLY_DATASET,194,0.9,separated,0.00466,0.0911,False
M4_WEEKLY_DATASET,195,0.9,indistinguishable,0.0001,0.7141,False
M4_WEEKLY_DATASET,196,0.9,indistinguishable,0.03211,0.8374,False
M4_WEEKLY_DATASET,200,0.9,indistinguishable,0.03795,0.4639,False
M4_WEEKLY_DATASET,203,0.9,separated,7.23662,0.0761,False
M4_WEEKLY_DATASET,204,0.9,indistinguishable,0.0002,0.158,False
M4_WEEKLY_DATASET,205,0.9,separated,0.00058,0.0906,False
M4_WEEKLY_DATASET,206,0.9,indistinguishable,0.0009,0.8781,False
M4_WEEKLY_DATASET,207,0.9,indistinguishable,0.00012,0.7322,False
M4_WEEKLY_DATASET,208,0.9,separated,0.01444,0.0011,False
M4_WEEKLY_DATASET,210,0.9,indistinguishable,0.00068,0.9363,False
M4_WEEKLY_DATASET,212,0.9,indistinguishable,0.00629,0.861,False
M4_WEEKLY_DATASET,215,0.9,separated,0.00747,0.003,False
M4_WEEKLY_DATASET,221,0.8,separated,0.03944,0.0012,False
M4_WEEKLY_DATASET,222,0.9,indistinguishable,0.06425,0.413,False
M4_WEEKLY_DATASET,226,0.9,indistinguishable,0.0289,0.9199,False
M4_WEEKLY_DATASET,228,0.9,separated,1.03011,0.0011,False
M4_WEEKLY_DATASET,230,0.9,separated,0.32083,0.0008,False
M4_WEEKLY_DATASET,233,0.9,separated,0.06071,0.0138,False
M4_WEEKLY_DATASET,234,0.9,indistinguishable,0.02736,0.9274,False
M4_WEEKLY_DATASET,237,0.9,separated,0.01719,0.0166,False
M4_WEEKLY_DATASET,240,0.9,separated,0.04087,0.0181,False
M4_WEEKLY_DATASET,241,0.9,separated,0.11017,0.0019,False
M4_WEEKLY_DATASET,247,0.9,separated,7e-05,0.0115,False
M4_WEEKLY_DATASET,250,0.9,separated,0.27692,0.0244,False
M4_WEEKLY_DATASET,251,0.9,indistinguishable,0.08078,0.148,False
M4_WEEKLY_DATASET,252,0.9,separated,0.02384,0.0196,False
M4_WEEKLY_DATASET,253,0.9,indistinguishable,9e-05,0.5308,False
M4_WEEKLY_DATASET,254,0.9,separated,0.00334,0.0001,False
M4_WEEKLY_DATASET,255,0.9,separated,0.00415,0.0047,False
M4_WEEKLY_DATASET,257,0.9,indistinguishable,1.06986,0.1344,False
M4_WEEKLY_DATASET,258,0.9,separated,0.33227,0.0276,False
M4_WEEKLY_DATASET,259,1.0,indistinguishable,0.11037,0.8015,False
M4_WEEKLY_DATASET,260,0.8,separated,0.07737,0.0128,False
M4_WEEKLY_DATASET,261,0.9,separated,0.00213,0.0548,False
M4_WEEKLY_DATASET,262,0.9,separated,0.31794,0.0,False
M4_WEEKLY_DATASET,263,0.9,indistinguishable,0.00259,0.3959,False
M4_WEEKLY_DATASET,266,0.9,indistinguishable,0.00758,0.8169,False
M4_WEEKLY_DATASET,267,0.9,separated,0.13643,0.0044,False
M4_WEEKLY_DATASET,270,0.9,indistinguishable,0.00464,0.9887,False
M4_WEEKLY_DATASET,271,0.9,separated,0.02848,0.0202,False
M4_WEEKLY_DATASET,272,1.0,indistinguishable,0.05453,0.8066,False
M4_WEEKLY_DATASET,273,0.9,separated,0.99469,0.0003,False
M4_WEEKLY_DATASET,277,0.9,indistinguishable,0.06936,0.1102,False
M4_WEEKLY_DATASET,278,0.9,separated,0.00316,0.0404,False
M4_WEEKLY_DATASET,279,0.9,separated,10.15224,0.0,False
M4_WEEKLY_DATASET,282,0.9,indistinguishable,0.21591,0.1108,False
M4_WEEKLY_DATASET,285,0.7,separated,0.00665,0.0199,False
M4_WEEKLY_DATASET,287,0.9,indistinguishable,0.12672,0.8933,False
M4_WEEKLY_DATASET,288,0.9,indistinguishable,0.10591,0.6791,False
M4_WEEKLY_DATASET,289,0.9,separated,0.08898,0.0922,False
M4_WEEKLY_DATASET,290,0.9,separated,7e-05,0.0002,False
M4_WEEKLY_DATASET,291,0.9,separated,0.04184,0.0005,False
M4_WEEKLY_DATASET,292,0.9,separated,0.08959,0.0476,False
M4_WEEKLY_DATASET,294,0.9,indistinguishable,0.01032,0.5312,False
M4_WEEKLY_DATASET,295,0.9,indistinguishable,0.00056,0.5445,False
M4_WEEKLY_DATASET,296,0.9,indistinguishable,0.00916,0.8007,False
M4_WEEKLY_DATASET,301,0.9,separated,1e-05,0.0211,False
M4_WEEKLY_DATASET,302,0.9,indistinguishable,0.03177,0.2926,False
M4_WEEKLY_DATASET,303,0.9,separated,0.00123,0.0121,False
M4_WEEKLY_DATASET,304,0.9,indistinguishable,0.00081,0.3972,False
M4_WEEKLY_DATASET,305,0.9,separated,0.00386,0.0004,False
M4_WEEKLY_DATASET,307,0.9,indistinguishable,0.00199,0.4546,False
M4_WEEKLY_DATASET,310,0.9,separated,0.01016,0.0125,False
M4_WEEKLY_DATASET,311,0.9,separated,0.02705,0.0006,False
M4_WEEKLY_DATASET,314,0.9,indistinguishable,0.00103,0.7185,False
M4_WEEKLY_DATASET,322,0.9,separated,0.0006,0.0271,False
M4_WEEKLY_DATASET,324,0.9,indistinguishable,0.00229,0.5218,False
M4_WEEKLY_DATASET,325,0.9,indistinguishable,0.03693,0.7025,False
M4_WEEKLY_DATASET,328,0.9,separated,0.00147,0.0037,False
M4_WEEKLY_DATASET,329,0.9,indistinguishable,0.02308,0.3339,False
M4_WEEKLY_DATASET,332,0.9,separated,0.03684,0.0934,False
M4_WEEKLY_DATASET,334,0.9,separated,0.03308,0.0011,False
M4_WEEKLY_DATASET,335,0.9,indistinguishable,0.00118,0.6856,False
M4_WEEKLY_DATASET,337,0.9,separated,0.00368,0.0924,False
M4_WEEKLY_DATASET,338,0.9,separated,0.02848,0.0019,False
M4_WEEKLY_DATASET,339,0.9,indistinguishable,0.01432,0.1529,False
M4_WEEKLY_DATASET,341,0.9,separated,0.02673,0.003,False
