train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2013-02;2013-03_2014-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;7431.395564260905;0.12187325070091722;90.9090909090909;12.757891486945772;29646.18768719143;0.8076979680959293;39072.16226903368;41558.47983260997;41841.796015423366;41838.488410445556;45352.88578172509;45697.13550907336;43876.95754956624;49019.83041069444;46905.19157686943;51930.67320776913;49829.32445238567;43245.89287904801;-4.398708040196316;0.000298399267661064;2;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;True
1990-01_2012-02;2012-03_2013-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;5352.5748471532115;0.09458362952365629;72.72727272727273;9.631279656586909;63431.23375033443;0.3585304745192416;32776.57599275117;34843.069825488616;33797.50574860433;32415.955921278608;33584.91209585148;37787.739124331936;32820.51086938678;33554.86303609124;33168.59474075624;39053.335813977836;32562.60638597972;25194.087540435394;-4.890436080720146;3.640048653632243e-05;1;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;True
1990-01_2011-02;2011-03_2012-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;35106.89070811363;0.9133242790929682;36.36363636363637;-87.64064035094135;981292.0684645975;4.044882431257138;66490.91926335263;70617.94992898889;72517.40024616128;69549.59643172173;74277.58400954182;69500.64866664638;78212.78275620898;74690.8681000494;74006.56155268494;80807.71180157503;74669.90349785634;73006.6312666916;-4.710620946915601;8.03705827732493e-05;1;251;-3.4566744514553016;-2.8731248767783426;-2.5729436702592023;True
1990-01_2010-02;2010-03_2011-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;101767.52723545114;1.314469484716852;45.45454545454545;135.84978679363942;2461589.7583391904;4.17687785321946;40908.12624743685;26300.115505397313;16369.887410905932;8458.527588889954;-1073.9422212816714;-13324.074285893657;-24467.80734616155;-38477.4531870386;-51337.32892332618;-61038.46383245196;-83408.8441045723;-102593.6859270265;-2.99559924587348;0.035307424173651514;3;237;-3.4582467982399105;-2.8738137461081323;-2.5733111490323846;True
1990-01_2009-02;2009-03_2010-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;22455.28848683031;0.3132748982845583;72.72727272727273;-24.919500694311203;268234.12660686043;0.7635122879551859;77177.20011119347;75949.40763665404;77518.23228978108;77916.68391004497;83229.57343542497;82449.81535987597;85355.98374002821;89223.18557338882;87472.5545415938;97030.56381932969;93149.11226860473;87652.21645503215;-2.980082519364064;0.03679677359385616;3;225;-3.4597521044060353;-2.874472927517147;-2.5736628197530864;True
1990-01_2008-02;2008-03_2009-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;4392.769349261188;0.061673878180435265;63.63636363636363;-1.9110718326526948;69286.46161309218;0.24948244174187428;50299.65235173926;50499.58485164658;51074.222846164594;55887.08855284711;58325.671766871696;62025.84081276245;63209.8046185586;68095.32307525478;69744.04676032069;74881.25658734178;74829.78931755392;73301.72740177649;-3.204749573237511;0.01971139609430559;3;213;-3.461429147102264;-2.875206950587861;-2.5740544497344002;True
1990-01_2007-02;2007-03_2008-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;11457.530429609349;0.22193254590237252;100.0;25.88766815160865;1101.0642211902853;0.6211618122941622;22437.09947412367;21614.39877926931;21036.70868606677;23289.92106497737;24219.120820975677;25451.11521953584;25010.938656816368;27307.372773271458;27583.008788969684;30610.814981346408;28565.092817119665;24099.11139206484;-3.4054204068558462;0.010775472365763851;3;201;-3.4633090972761744;-2.876029332045744;-2.5744932593252643;True
1990-01_2006-02;2006-03_2007-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;13533.397667468804;0.7265176647750834;54.54545454545455;-70.25550273786702;270641.4757144492;0.45984849000650163;20823.677509743848;24781.908432228636;22646.33945148876;27569.771837318178;28644.922520534503;32747.35073912432;31322.26995437898;35191.88146321626;38127.29664985778;42270.08192610214;40491.36859585816;36543.42176924054;-3.258585477176985;0.01683429281127439;3;189;-3.4654311561944873;-2.8769570530458792;-2.574988319755886;True
1990-01_2005-02;2005-03_2006-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;7112.951580319115;0.3923804572358361;63.63636363636363;-39.92277090483754;113214.65073511917;0.21541511897744176;14926.747892576359;16687.40074001802;15589.231323287699;18692.49082055509;20924.731185796845;24252.169920630145;22871.62648887551;27383.57455023088;26901.37119194301;32158.497071064055;30838.06748161311;26291.609274591334;-4.923674391711873;3.135680395500041e-05;1;179;-3.4674201432469816;-2.877826051844538;-2.575452082332012;True
1990-01_2004-02;2004-03_2005-02;RJ;etanolhidratado;ARIMA;(16, 2, 10);12;12;15686.512786660662;1.4172194297656784;63.63636363636363;-142.63532917965588;256647.2401485568;0.38681341908772965;9916.119527651725;13531.512802242672;14072.248025508185;17919.94280172507;20605.753020834607;25437.156203194412;24327.854095084193;29971.663496407946;30637.174139729643;37833.85004633352;36257.03912194821;32421.456198610274;-3.8458781474151413;0.0024712989039003407;4;164;-3.47086589632514;-2.879330279087651;-2.57625492712671;True
