dataset,dataset_index,score_final,melhor_score_semeado,diferenca
ANP_MONTHLY,116,0.555811,0.5973,-0.041489
ANP_MONTHLY,117,0.507074,0.5802,-0.07312600000000002
ANP_MONTHLY,118,0.618254,0.6667,-0.04844599999999999
ANP_MONTHLY,119,0.630516,0.6504,-0.019884000000000013
ANP_MONTHLY,120,0.550857,0.5735,-0.02264299999999997
ANP_MONTHLY,121,0.570521,0.5898,-0.019279000000000046
ANP_MONTHLY,122,0.610469,0.6283,-0.01783099999999993
ANP_MONTHLY,123,0.609144,0.6201,-0.010955999999999966
ANP_MONTHLY,124,0.651729,0.6831,-0.03137100000000004
ANP_MONTHLY,125,0.699258,0.6993,-4.199999999998649e-05
ANP_MONTHLY,126,0.68212,0.7117,-0.02958000000000005
ANP_MONTHLY,127,0.543135,0.5618,-0.01866499999999993
ANP_MONTHLY,128,0.596699,0.618,-0.021301000000000014
ANP_MONTHLY,129,0.477663,0.5198,-0.042137000000000036
ANP_MONTHLY,130,0.577292,0.603,-0.025707999999999953
ANP_MONTHLY,131,0.596923,0.5969,2.2999999999995246e-05
ANP_MONTHLY,132,0.697681,0.7076,-0.009919000000000011
ANP_MONTHLY,133,0.631516,0.6727,-0.041184
ANP_MONTHLY,134,0.660606,0.6606,6.000000000061512e-06
ANP_MONTHLY,135,0.625421,0.6495,-0.02407899999999996
ANP_MONTHLY,136,0.619447,0.6194,4.700000000001925e-05
ANP_MONTHLY,137,0.632915,0.6727,-0.03978499999999996
ANP_MONTHLY,138,0.681303,0.6813,2.9999999999752447e-06
ANP_MONTHLY,139,0.569566,0.6172,-0.047633999999999954
ANP_MONTHLY,140,0.542954,0.543,-4.599999999999049e-05
ANP_MONTHLY,141,0.632418,0.6727,-0.04028199999999993
ANP_MONTHLY,142,0.532966,0.5865,-0.05353399999999997
ANP_MONTHLY,143,0.666315,0.6663,1.4999999999987246e-05
ANP_MONTHLY,144,0.526648,0.6002,-0.07355199999999995
ANP_MONTHLY,145,0.678526,0.6785,2.599999999997049e-05
ANP_MONTHLY,146,0.63061,0.6372,-0.006589999999999985
ANP_MONTHLY,147,0.624005,0.624,5.000000000032756e-06
ANP_MONTHLY,148,0.60144,0.651,-0.04956000000000005
ANP_MONTHLY,149,0.646456,0.6465,-4.399999999993298e-05
ANP_MONTHLY,150,0.60039,0.6019,-0.0015100000000000113
ANP_MONTHLY,151,0.63354,0.6335,4.0000000000040004e-05
ANP_MONTHLY,152,0.611761,0.6118,-3.900000000001125e-05
ANP_MONTHLY,153,0.560801,0.5635,-0.002699000000000007
ANP_MONTHLY,154,0.571174,0.6318,-0.06062600000000007
ANP_MONTHLY,155,0.650074,0.6723,-0.022225999999999968
ANP_MONTHLY,156,0.658736,0.6909,-0.03216399999999997
ANP_MONTHLY,157,0.626852,0.6303,-0.0034480000000000066
ANP_MONTHLY,158,0.526557,0.5671,-0.040542999999999996
ANP_MONTHLY,159,0.573429,0.5992,-0.02577099999999999
ANP_MONTHLY,160,0.608928,0.6089,2.8000000000028002e-05
ANP_MONTHLY,161,0.552794,0.5865,-0.033706000000000014
ANP_MONTHLY,162,0.672727,0.6727,2.6999999999999247e-05
ANP_MONTHLY,163,0.623705,0.6237,4.999999999921734e-06
ANP_MONTHLY,164,0.618203,0.6276,-0.0093970000000001
ANP_MONTHLY,165,0.602794,0.6028,-5.999999999950489e-06
ANP_MONTHLY,166,0.577184,0.5948,-0.017615999999999965
ANP_MONTHLY,167,0.69697,0.697,-2.999999999997449e-05
ANP_MONTHLY,168,0.575262,0.6094,-0.034138
ANP_MONTHLY,169,0.488313,0.5604,-0.07208700000000001
ANP_MONTHLY,170,0.556308,0.5563,8.000000000008e-06
ANP_MONTHLY,171,0.637794,0.6513,-0.013506000000000018
ANP_MONTHLY,172,0.379543,0.6084,-0.22885700000000003
ANP_MONTHLY,173,0.654965,0.655,-3.500000000000725e-05
ANP_MONTHLY,174,0.636865,0.6369,-3.500000000000725e-05
ANP_MONTHLY,175,0.571267,0.6098,-0.03853300000000004
ANP_MONTHLY,176,0.474186,0.4742,-1.4000000000014001e-05
ANP_MONTHLY,177,0.423137,0.5395,-0.116363
ANP_MONTHLY,178,0.701328,0.7095,-0.008172000000000068
ANP_MONTHLY,179,0.687273,0.6873,-2.6999999999999247e-05
ANP_MONTHLY,180,0.590508,0.6571,-0.06659199999999998
ANP_MONTHLY,181,0.513466,0.5563,-0.04283400000000004
NN5_WEEKLY_DATASET,0,0.646564,0.6776,-0.031035999999999953
NN5_WEEKLY_DATASET,1,0.557936,0.7007,-0.142764
NN5_WEEKLY_DATASET,2,0.617091,0.651,-0.03390900000000008
NN5_WEEKLY_DATASET,3,0.708575,0.7238,-0.015225000000000044
NN5_WEEKLY_DATASET,4,0.689254,0.7048,-0.015545999999999949
NN5_WEEKLY_DATASET,5,0.702914,0.7029,1.4000000000069512e-05
NN5_WEEKLY_DATASET,6,0.431396,0.5878,-0.156404
NN5_WEEKLY_DATASET,7,0.742857,0.7429,-4.300000000001525e-05
NN5_WEEKLY_DATASET,8,0.674426,0.6744,2.599999999997049e-05
NN5_WEEKLY_DATASET,9,0.73322,0.7332,2.0000000000020002e-05
NN5_WEEKLY_DATASET,10,0.644715,0.6447,1.4999999999987246e-05
NN5_WEEKLY_DATASET,11,0.614615,0.6514,-0.03678499999999996
NN5_WEEKLY_DATASET,12,0.632348,0.6425,-0.010151999999999939
NN5_WEEKLY_DATASET,13,0.666722,0.6913,-0.02457799999999999
NN5_WEEKLY_DATASET,14,0.68511,0.6851,9.99999999995449e-06
NN5_WEEKLY_DATASET,15,0.684392,0.6844,-8.000000000008e-06
NN5_WEEKLY_DATASET,16,0.64312,0.6431,2.0000000000020002e-05
NN5_WEEKLY_DATASET,17,0.665389,0.6746,-0.00921099999999997
