serie,CREST,CREST sem agente
NN5_WEEKLY_DATASET_27,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_28,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_29,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_30,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_31,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_32,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_33,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_34,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_35,42.85714285714285,85.71428571428571
NN5_WEEKLY_DATASET_36,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_37,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_38,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_39,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_40,14.285714285714286,14.285714285714286
NN5_WEEKLY_DATASET_41,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_42,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_43,71.42857142857143,71.42857142857143
NN5_WEEKLY_DATASET_44,28.571428571428573,42.85714285714285
NN5_WEEKLY_DATASET_45,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_46,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_47,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_48,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_49,71.42857142857143,71.42857142857143
NN5_WEEKLY_DATASET_50,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_51,71.42857142857143,71.42857142857143
NN5_WEEKLY_DATASET_52,85.71428571428571,85.71428571428571
NN5_WEEKLY_DATASET_53,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_54,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_55,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_56,42.85714285714285,71.42857142857143
NN5_WEEKLY_DATASET_57,0.0,0.0
NN5_WEEKLY_DATASET_58,57.142857142857146,42.85714285714285
NN5_WEEKLY_DATASET_59,42.85714285714285,42.85714285714285
