dataset,dataset_index,iteration,tipo,limite,tamanho,dispara,antigo_json_valido,antigo_corte,atual_json_valido,atual_string_inteira_valida,atual_cabe_no_limite,atual_fallback_nota,atual_tem_marcador_antigo
ANP_MONTHLY,10,9,historico,320,386,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,9,historico,320,291,False,,,,,,,
ANP_MONTHLY,10,9,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,9,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,9,historico,320,377,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,9,historico,320,316,False,,,,,,,
ANP_MONTHLY,10,9,historico,320,244,False,,,,,,,
ANP_MONTHLY,10,9,historico,320,238,False,,,,,,,
ANP_MONTHLY,10,9,handles,600,660,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,9,scratchpad_args,120,230,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,9,scratchpad_args,120,7,False,,,,,,,
ANP_MONTHLY,10,9,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,9,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,9,scratchpad_args,120,238,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,9,scratchpad_args,120,239,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,9,ultima_observacao,1400,398,False,,,,,,,
ANP_MONTHLY,10,10,series_card,1800,698,False,,,,,,,
ANP_MONTHLY,10,10,pool_card,1800,1301,False,,,,,,,
ANP_MONTHLY,10,10,dataset_card,900,766,False,,,,,,,
ANP_MONTHLY,10,10,diagnosis,700,479,False,,,,,,,
ANP_MONTHLY,10,10,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,10,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,10,historico,320,386,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,10,historico,320,291,False,,,,,,,
ANP_MONTHLY,10,10,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,10,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,10,historico,320,377,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,10,historico,320,316,False,,,,,,,
ANP_MONTHLY,10,10,historico,320,244,False,,,,,,,
ANP_MONTHLY,10,10,historico,320,238,False,,,,,,,
ANP_MONTHLY,10,10,handles,600,660,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,10,scratchpad_args,120,7,False,,,,,,,
ANP_MONTHLY,10,10,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,10,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,10,scratchpad_args,120,238,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,10,scratchpad_args,120,239,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,10,scratchpad_args,120,54,False,,,,,,,
ANP_MONTHLY,10,10,ultima_observacao,1400,180,False,,,,,,,
ANP_MONTHLY,10,11,series_card,1800,698,False,,,,,,,
ANP_MONTHLY,10,11,pool_card,1800,1301,False,,,,,,,
ANP_MONTHLY,10,11,dataset_card,900,766,False,,,,,,,
ANP_MONTHLY,10,11,diagnosis,700,479,False,,,,,,,
ANP_MONTHLY,10,11,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,11,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,11,historico,320,386,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,11,historico,320,291,False,,,,,,,
ANP_MONTHLY,10,11,historico,320,315,False,,,,,,,
ANP_MONTHLY,10,11,historico,320,423,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,11,historico,320,290,False,,,,,,,
ANP_MONTHLY,10,11,historico,320,377,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,11,historico,320,316,False,,,,,,,
ANP_MONTHLY,10,11,historico,320,244,False,,,,,,,
ANP_MONTHLY,10,11,handles,600,660,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,11,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,11,scratchpad_args,120,16,False,,,,,,,
ANP_MONTHLY,10,11,scratchpad_args,120,238,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,11,scratchpad_args,120,239,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,11,scratchpad_args,120,54,False,,,,,,,
ANP_MONTHLY,10,11,scratchpad_args,120,283,True,False,dentro_de_string,True,False,True,False,False
ANP_MONTHLY,10,11,ultima_observacao,1400,418,False,,,,,,,
ANP_MONTHLY,18,1,series_card,1800,702,False,,,,,,,
ANP_MONTHLY,18,1,pool_card,1800,1174,False,,,,,,,
ANP_MONTHLY,18,1,dataset_card,900,764,False,,,,,,,
ANP_MONTHLY,18,1,diagnosis,700,480,False,,,,,,,
ANP_MONTHLY,18,1,historico,320,243,False,,,,,,,
ANP_MONTHLY,18,1,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,1,historico,320,238,False,,,,,,,
ANP_MONTHLY,18,1,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,1,historico,320,313,False,,,,,,,
ANP_MONTHLY,18,1,historico,320,234,False,,,,,,,
ANP_MONTHLY,18,1,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,1,historico,320,288,False,,,,,,,
ANP_MONTHLY,18,1,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,1,handles,600,308,False,,,,,,,
ANP_MONTHLY,18,2,series_card,1800,702,False,,,,,,,
ANP_MONTHLY,18,2,pool_card,1800,1174,False,,,,,,,
ANP_MONTHLY,18,2,dataset_card,900,764,False,,,,,,,
ANP_MONTHLY,18,2,diagnosis,700,480,False,,,,,,,
ANP_MONTHLY,18,2,historico,320,243,False,,,,,,,
ANP_MONTHLY,18,2,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,2,historico,320,238,False,,,,,,,
ANP_MONTHLY,18,2,historico,320,312,False,,,,,,,
ANP_MONTHLY,18,2,historico,320,313,False,,,,,,,
ANP_MONTHLY,18,2,historico,320,234,False,,,,,,,
ANP_MONTHLY,18,2,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,2,historico,320,288,False,,,,,,,
ANP_MONTHLY,18,2,historico,320,287,False,,,,,,,
ANP_MONTHLY,18,2,handles,600,415,False,,,,,,,
ANP_MONTHLY,18,2,scratchpad_args,120,42,False,,,,,,,
ANP_MONTHLY,18,2,ultima_observacao,1400,225,False,,,,,,,
ANP_MONTHLY,18,3,series_card,1800,702,False,,,,,,,
ANP_MONTHLY,18,3,pool_card,1800,1174,False,,,,,,,
ANP_MONTHLY,18,3,dataset_card,900,764,False,,,,,,,
ANP_MONTHLY,18,3,diagnosis,700,480,False,,,,,,,
